Child iri	Parent iri
:CM_TransferWlOpInp	:CM_TransferWl
:CM_Triage	:SN_386053000
:CM_TriageAssessmentEncounter	:SN_325931000000109
:CM_UpdateEntry	:CM_CrudOperation
:CM_UpdateRecordEncounter	:CM_AdministrativeEntry
:CM_ValueTerminology	owl:Thing
:CM_VideoConsultation	:CM_EncounterUsingDevice
:CM_WlPreadmit	:CM_TransferWl
:CM_code	owl:topObjectProperty
:CM_eam	:CM_GConsultationGroup
:CM_entryClass	owl:topObjectProperty
:CM_fromCareClassification	owl:topObjectProperty
:CM_generated	owl:topObjectProperty
:CM_hasActivity	owl:topObjectProperty
:CM_hasCareSetting	owl:topObjectProperty
:CM_hasCrudOperation	owl:topObjectProperty
:CM_hasEventTypeOf	owl:topObjectProperty
:CM_hasIri	owl:topObjectProperty
:CM_hasMember	owl:topObjectProperty
:CM_hasPatientCareClass	owl:topObjectProperty
:CM_hasRecordHeldBy	owl:topObjectProperty
:CM_hasReplaced	owl:topObjectProperty
:CM_hasResourceLocatorType	owl:topObjectProperty
:CM_hasUpdateTime	:DM_dateTimeProperty
:CM_hird_party_hcp	:CM_GConsultationGroup
:CM_inactiveStatus	:CM_ActiveInactive
:CM_integerProperty	:CM_numericProperty
:CM_isChildCodeOf	owl:topObjectProperty
:CM_isProcess	owl:topObjectProperty
:CM_method	owl:topObjectProperty
:CM_numericProperty	:DM_dataProperty
:CM_onCareClassification	owl:topObjectProperty
:CM_oohwuc	:CM_OnPremises
:CM_participants	owl:topObjectProperty
:CM_ransactionalUpdate	:CM_ModelDocumentPurpose
:CM_replacedWith	owl:topObjectProperty
:CM_scheme	owl:topObjectProperty
:CM_status	owl:topObjectProperty
:CM_timeOrder	owl:topObjectProperty
:CM_toCareClassification	owl:topObjectProperty
:CM_usedIn	owl:topObjectProperty
:CM_usesDevice	owl:topObjectProperty
:CM_wasPerformedBy	owl:topObjectProperty
:DM_AandEEncounterEntry	:CM_HospitalEncounter
:DM_Age	:DM_FunctionalValue
:DM_Agent	:DM_IdentifiableEntity
:DM_CriticalCareEntry	:CM_HospitalEncounter
:DM_DataModel	owl:Thing
:DM_DerivedProperty	:DM_dataProperty
:DM_DisplayProperty	:DM_ObjectProperty
:DM_EncounterEntry	:DM_PatientEvent
:DM_EncounterEntry	:SN_325841000000109
:DM_EntitySubtype	:DM_ObjectProperty
:DM_FunctionalValue	:QC_QRecordQuery
:DM_HealthEvent	:DM_DataModel
:DM_HospitalAdmitEntry	:CM_HospitalEncounter
:DM_HospitalDischEntry	:CM_EndHospEvent
:DM_HospitalInpEntry	:CM_HospitalEncounter
:DM_HospitalOpdEntry	:CM_Consultation
:DM_HospitalOpdEntry	:CM_HospitalEncounter
:DM_IdentifiableEntity	:DM_DataModel
:DM_Identifier	:DM_StructuredArtefact
:DM_LocationDetail	:DM_StateEntry
:DM_LocationEntry	:DM_IdentifiableEntity
:DM_ObjectProperty	owl:topObjectProperty
:DM_ObservationEntry	:DM_PatientEvent
:DM_Organisation	:DM_IdentifiableEntity
:DM_OrganisationDetail	:DM_StateEntry
:DM_PatientDemographic	:DM_StateEntry
:DM_PatientEvent	:DM_HealthEvent
:DM_PersonDemographic	:DM_StateEntry
:DM_Provenance	:DM_DataModel
:DM_ProvenanceActivity	:DM_Provenance
:DM_ProvenanceEntity	:DM_Provenance
:DM_RecordSection	:DM_StructuredArtefact
:DM_RelatedPerson	:SN_125676002
:DM_StateEntry	:DM_DataModel
:DM_StructuredArtefact	:DM_DataModel
:DM_aAndEDepartmentType	:DM_ObjectProperty
:DM_adminCategoryonAdmission	:DM_ObjectProperty
:DM_administrativePaymentCategory	:DM_ObjectProperty
:DM_admissionPatientClassification	:DM_ObjectProperty
:DM_aeAttendanceCategory	:DM_ObjectProperty
:DM_aeAttendanceSource	:DM_ObjectProperty
:DM_arrivalMode	:DM_ObjectProperty
:DM_attendanceStatus	:DM_ObjectProperty
:DM_booleanProperty	:DM_dataProperty
:DM_dataProperty	owl:topDataProperty
:DM_dateTimeProperty	:DM_dataProperty
:DM_displayOrder	:DM_dataProperty
:DM_dmDerivedProperty	:DM_ObjectProperty
:DM_hasActivityTime	:DM_dateTimeProperty
:DM_hasAttendanceOutcome	:DM_ObjectProperty
:DM_hasComponentDate	:DM_dateTimeProperty
:DM_hasCriticalCareUnitFunction	:DM_ObjectProperty
:DM_hasDateOfBirth	:DM_dateTimeProperty
:DM_hasDateTimeOfEntry	:DM_dateTimeProperty
:DM_hasDischargeDestination	:DM_ObjectProperty
:DM_hasDischargeMethod	:DM_ObjectProperty
:DM_hasEffectiveDate	:DM_dateTimeProperty
:DM_hasEndTime	:DM_dateTimeProperty
:DM_hasHeading	:DM_ObjectProperty
:DM_hasIdentifier	:DM_dataProperty
:DM_hasNHSNumber	:DM_hasIdentifier
:DM_hasName	:DM_dataProperty
:DM_hasODSCode	:DM_hasIdentifier
:DM_hasObservationType	:DM_ObjectProperty
:DM_hasOrganisationType	:DM_ObjectProperty
:DM_hasProvenance	:DM_ObjectProperty
:DM_hasType	:DM_ObjectProperty
:DM_id	:DM_dataProperty
:DM_isProvenanceFor	:DM_ObjectProperty
:DM_isRecordOf	:DM_ObjectProperty
:DM_isUnderHeadingOf	:DM_ObjectProperty
:DM_methodOfAdmssion	:DM_ObjectProperty
:DM_sourceOfAdmission	:DM_ObjectProperty
:DM_treatmentFunctionAdmit	:DM_ObjectProperty
:DM_treatmentSpecialty	:DM_ObjectProperty
:LE_1	:CM_NoteEncounter
:LE_10	:CM_NoteEncounter
:LE_100	:CM_FilingDocEncounter
:LE_1000	:CM_FilingDocEncounter
:LE_10000	:CM_NoteEncounter
:LE_10001	:CM_NoteEncounter
:LE_10002	:CM_NoteEncounter
:LE_10003	:CM_NoteEncounter
:LE_10004	:CM_FilingDocEncounter
:LE_10005	:CM_NoteEncounter
:LE_10006	:CM_NoteEncounter
:LE_10007	:CM_NoteEncounter
:LE_10008	:CM_NoteEncounter
:LE_10009	:CM_FilingDocEncounter
:LE_1001	:CM_FilingDocEncounter
:LE_10010	:CM_FilingDocEncounter
:LE_10011	:CM_FilingDocEncounter
:LE_10012	:CM_FilingDocEncounter
:LE_10013	:CM_NoteEncounter
:LE_10014	:CM_NoteEncounter
:LE_10015	:CM_NoteEncounter
:LE_10016	:CM_NoteEncounter
:LE_10017	:CM_NoteEncounter
:LE_10018	:CM_NoteEncounter
:LE_10019	:CM_FilingDocEncounter
:LE_1002	:CM_FilingDocEncounter
:LE_10020	:CM_NoteEncounter
:LE_10021	:CM_NoteEncounter
:LE_10022	:CM_NoteEncounter
:LE_10023	:CM_NoteEncounter
:LE_10024	:CM_NoteEncounter
:LE_10025	:CM_NoteEncounter
:LE_10026	:CM_NoteEncounter
:LE_10027	:CM_NoteEncounter
:LE_10028	:CM_NoteEncounter
:LE_10029	:CM_NoteEncounter
:LE_1003	:CM_FilingDocEncounter
:LE_10030	:CM_NoteEncounter
:LE_10031	:CM_NoteEncounter
:LE_10032	:CM_FilingDocEncounter
:LE_10033	:CM_NoteEncounter
:LE_10034	:CM_NoteEncounter
:LE_10035	:CM_NoteEncounter
:LE_10036	:CM_NoteEncounter
:LE_10037	:CM_NoteEncounter
:LE_10038	:CM_NoteEncounter
:LE_10039	:CM_NoteEncounter
:LE_1004	:CM_FilingDocEncounter
:LE_10040	:CM_NoteEncounter
:LE_10041	:CM_NoteEncounter
:LE_10042	:CM_NoteEncounter
:LE_10043	:CM_NoteEncounter
:LE_10044	:CM_NoteEncounter
:LE_10045	:CM_NoteEncounter
:LE_10046	:CM_NoteEncounter
:LE_10047	:CM_NoteEncounter
:LE_10048	:CM_NoteEncounter
:LE_10049	:CM_NoteEncounter
:LE_1005	:CM_FilingDocEncounter
:LE_10050	:CM_NoteEncounter
:LE_10051	:CM_NoteEncounter
:LE_10052	:CM_NoteEncounter
:LE_10053	:CM_NoteEncounter
:LE_10054	:CM_NoteEncounter
:LE_10055	:CM_NoteEncounter
:LE_10056	:CM_FilingDocEncounter
:LE_10057	:CM_NoteEncounter
:LE_10058	:CM_NoteEncounter
:LE_10059	:CM_NoteEncounter
:LE_1006	:CM_FilingDocEncounter
:LE_10060	:CM_NoteEncounter
:LE_10061	:CM_NoteEncounter
:LE_10062	:CM_NoteEncounter
:LE_10063	:CM_NoteEncounter
:LE_10064	:CM_NoteEncounter
:LE_10065	:CM_NoteEncounter
:LE_10066	:CM_FilingDocEncounter
:LE_10067	:CM_NoteEncounter
:LE_10068	:CM_NoteEncounter
:LE_10069	:CM_TelephoneConsultation
:LE_1007	:CM_FilingDocEncounter
:LE_10070	:CM_NoteEncounter
:LE_10071	:CM_NoteEncounter
:LE_10072	:CM_NoteEncounter
:LE_10073	:CM_NoteEncounter
:LE_10074	:CM_FilingDocEncounter
:LE_10075	:CM_NoteEncounter
:LE_10076	:CM_NoteEncounter
:LE_10077	:CM_FilingDocEncounter
:LE_10078	:CM_FilingDocEncounter
:LE_10079	:CM_NoteEncounter
:LE_1008	:CM_FilingDocEncounter
:LE_10080	:CM_CancelHospEvent
:LE_10081	:CM_NoteEncounter
:LE_10082	:CM_NoteEncounter
:LE_10083	:CM_NoteEncounter
:LE_10084	:CM_NoteEncounter
:LE_10085	:CM_NoteEncounter
:LE_10086	:CM_NoteEncounter
:LE_10087	:CM_NoteEncounter
:LE_10088	:CM_NoteEncounter
:LE_10089	:CM_NoteEncounter
:LE_1009	:CM_FilingDocEncounter
:LE_10090	:CM_NoteEncounter
:LE_10091	:CM_NoteEncounter
:LE_10092	:CM_NightVisit
:LE_10093	:CM_NoteEncounter
:LE_10094	:CM_NoteEncounter
:LE_10095	:CM_NoteEncounter
:LE_10096	:CM_NoteEncounter
:LE_10097	:CM_NoteEncounter
:LE_10098	:CM_NoteEncounter
:LE_10099	:CM_NoteEncounter
:LE_101	:CM_GPSurgeryConsultation
:LE_1010	:CM_FilingDocEncounter
:LE_10100	:CM_NoteEncounter
:LE_10101	:CM_NoteEncounter
:LE_10102	:CM_NoteEncounter
:LE_10103	:CM_NoteEncounter
:LE_10104	:CM_NoteEncounter
:LE_10105	:CM_NoteEncounter
:LE_10106	:CM_NoteEncounter
:LE_10107	:CM_NoteEncounter
:LE_10108	:CM_NoteEncounter
:LE_10109	:CM_FilingDocEncounter
:LE_1011	:CM_FilingDocEncounter
:LE_10110	:CM_NoteEncounter
:LE_10111	:CM_NoteEncounter
:LE_10112	:CM_NoteEncounter
:LE_10113	:CM_NoteEncounter
:LE_10114	:CM_NoteEncounter
:LE_10115	:CM_NoteEncounter
:LE_10116	:CM_NoteEncounter
:LE_10117	:CM_NoteEncounter
:LE_10118	:CM_NoteEncounter
:LE_10119	:CM_NoteEncounter
:LE_1012	:CM_FilingDocEncounter
:LE_10120	:CM_NoteEncounter
:LE_10121	:CM_NoteEncounter
:LE_10122	:CM_NoteEncounter
:LE_10123	:CM_NoteEncounter
:LE_10124	:CM_NoteEncounter
:LE_10125	:CM_NoteEncounter
:LE_10126	:CM_NoteEncounter
:LE_10127	:CM_FilingDocEncounter
:LE_10128	:CM_NoteEncounter
:LE_10129	:CM_NoteEncounter
:LE_1013	:CM_FilingDocEncounter
:LE_10130	:CM_NoteEncounter
:LE_10131	:CM_NoteEncounter
:LE_10132	:CM_NoteEncounter
:LE_10133	:CM_NoteEncounter
:LE_10134	:CM_NoteEncounter
:LE_10135	:CM_NoteEncounter
:LE_10136	:CM_NoteEncounter
:LE_10137	:CM_NoteEncounter
:LE_10138	:CM_NoteEncounter
:LE_10139	:CM_NoteEncounter
:LE_1014	:CM_FilingDocEncounter
:LE_10140	:CM_NoteEncounter
:LE_10141	:CM_NoteEncounter
:LE_10142	:CM_FilingDocEncounter
:LE_10143	:CM_NoteEncounter
:LE_10144	:CM_NoteEncounter
:LE_10145	:CM_NoteEncounter
:LE_10146	:CM_NoteEncounter
:LE_10147	:CM_NoteEncounter
:LE_10148	:CM_NoteEncounter
:LE_10149	:CM_TelephoneConsultation
:LE_1015	:CM_FilingDocEncounter
:LE_10150	:CM_TelephoneConsultation
:LE_10151	:CM_TelephoneConsultation
:LE_10152	:CM_TelephoneConsultation
:LE_10153	:CM_NoteEncounter
:LE_10154	:CM_NoteEncounter
:LE_10155	:CM_NoteEncounter
:LE_10156	:CM_NoteEncounter
:LE_10157	:CM_NoteEncounter
:LE_10158	:CM_NoteEncounter
:LE_10159	:CM_NoteEncounter
:LE_1016	:CM_FilingDocEncounter
:LE_10160	:CM_NoteEncounter
:LE_10161	:CM_NoteEncounter
:LE_10162	:CM_NoteEncounter
:LE_10163	:CM_NoteEncounter
:LE_10164	:CM_NoteEncounter
:LE_10165	:CM_NoteEncounter
:LE_10166	:CM_NoteEncounter
:LE_10167	:CM_NoteEncounter
:LE_10168	:CM_NoteEncounter
:LE_10169	:CM_NoteEncounter
:LE_1017	:CM_FilingDocEncounter
:LE_10170	:CM_NoteEncounter
:LE_10171	:CM_NoteEncounter
:LE_10172	:CM_NoteEncounter
:LE_10173	:CM_NoteEncounter
:LE_10174	:CM_NoteEncounter
:LE_10175	:CM_NoteEncounter
:LE_10176	:CM_NoteEncounter
:LE_10177	:CM_NoteEncounter
:LE_10178	:CM_FilingDocEncounter
:LE_10179	:CM_NoteEncounter
:LE_1018	:CM_FilingDocEncounter
:LE_10180	:CM_NoteEncounter
:LE_10181	:CM_NoteEncounter
:LE_10182	:CM_NoteEncounter
:LE_10183	:CM_NoteEncounter
:LE_10184	:CM_NoteEncounter
:LE_10185	:CM_NoteEncounter
:LE_10186	:CM_NoteEncounter
:LE_10187	:CM_NoteEncounter
:LE_10188	:CM_NoteEncounter
:LE_10189	:CM_NoteEncounter
:LE_1019	:CM_FilingDocEncounter
:LE_10190	:CM_NoteEncounter
:LE_10191	:CM_NoteEncounter
:LE_10192	:CM_FilingDocEncounter
:LE_10193	:CM_NoteEncounter
:LE_10194	:CM_NoteEncounter
:LE_10195	:CM_NoteEncounter
:LE_10196	:CM_NoteEncounter
:LE_10197	:CM_NoteEncounter
:LE_10198	:CM_NoteEncounter
:LE_10199	:CM_NoteEncounter
:LE_102	:CM_OnPremiseEncounter
:LE_1020	:CM_FilingDocEncounter
:LE_10200	:CM_NoteEncounter
:LE_10201	:CM_FilingDocEncounter
:LE_10202	:CM_NoteEncounter
:LE_10203	:CM_NoteEncounter
:LE_10204	:CM_NoteEncounter
:LE_10205	:CM_TelephoneConsultation
:LE_10206	:CM_NoteEncounter
:LE_10207	:CM_NoteEncounter
:LE_10208	:CM_FilingDocEncounter
:LE_10209	:CM_NoteEncounter
:LE_1021	:CM_FilingDocEncounter
:LE_10210	:CM_FilingDocEncounter
:LE_10211	:CM_FilingDocEncounter
