iri	status	name	description	code	scheme
:CM_AdmMetBBhok	im:CM_ActiveStatus	Emergency admission after baby born at home as intended	Emergency admssion after Baby born at home as intended CDS type 2C	CM_AdmMetBBhok	:CM_DiscoveryCode
:CM_AdmMetBedBureau	im:CM_ActiveStatus	Emergency admission via bed bureau	after a request for immediate admission has been made direct to a Hospital Provider from a bed bureau - CDS type 23	CM_AdmMetBedBureau	:CM_DiscoveryCode
:CM_AdmMetBirthHere	im:CM_ActiveStatus	Birth of a baby in this Health Care Provider	Birth of a baby in this Health Care Provider CDS type 82	CM_AdmMetBirthHere	:CM_DiscoveryCode
:CM_AdmMetBirthOut	im:CM_ActiveStatus	Baby born outside the Health Care Provider except when born at home as intended	Baby born outside the Health Care Provider except when born at home as intended type 83	CM_AdmMetBirthOut	:CM_DiscoveryCode
:CM_AdmMetBooked	im:CM_ActiveStatus	Booked admission (admssion method)	Elective booked admission CDS type 12	CM_AdmMetBooked	:CM_DiscoveryCode
:CM_AdmMetCasElsewhere	im:CM_ActiveStatus	Emergency admission from A&E  from another provider	Emergency admission from Accident and Emergency Department of another provider where the PATIENT had not been admitted CDS type 2A	CM_AdmMetCasElsewhere	:CM_DiscoveryCode
:CM_AdmMetCasSame	im:CM_ActiveStatus	Emergency admission from same trust		CM_AdmMetCasSame	:CM_DiscoveryCode
:CM_AdmMetConClin	im:CM_ActiveStatus	Emergency admission from consultant clinic	Emergency admission from Consultant Clinic, of this or another Health Care Provider - CDS type 24	CM_AdmMetConClin	:CM_DiscoveryCode
:CM_AdmMetEMore	im:CM_ActiveStatus	Emergency admission via other or none specific means	Emergencey admission - Other emergency admission CDS type 2D replacing  CDS type 28 also	CM_AdmMetEMore	:CM_DiscoveryCode
:CM_AdmMetElective	im:CM_ActiveStatus	Elective admission method	The method of admission is elective	CM_AdmMetElective	:CM_DiscoveryCode
:CM_AdmMetEmergency	im:CM_ActiveStatus	Emergency admission (admission method)	Emergency Admission, when admission is unpredictable and at short notice because of clinical need	CM_AdmMetEmergency	:CM_DiscoveryCode
:CM_AdmMetGpDirect	im:CM_ActiveStatus	Emergency admission direct from GP	Emergency admission via GENERAL PRACTITIONER: after a request for immediate admission has been made direct to a Hospital Provider, i.e. not through a Bed bureau, by a GENERAL PRACTITIONER or deputy - CDS type 22	CM_AdmMetGpDirect	:CM_DiscoveryCode
:CM_AdmMetHosTran	im:CM_ActiveStatus	Emergency admission - transfer of admitted patient from another hospital	Emergency admission - Transfer of an admitted PATIENT from another Hospital Provider in an emergency - CDS type 2B	CM_AdmMetHosTran	:CM_DiscoveryCode
:CM_AdmMetMatAP	im:CM_ActiveStatus	Maternity admission ante partum	Maternit admission antepartum CDS type 31	CM_AdmMetMatAP	:CM_DiscoveryCode
:CM_AdmMetMatPP	im:CM_ActiveStatus	Maternity admission post partum	Maternity admission post partum CDS type 32	CM_AdmMetMatPP	:CM_DiscoveryCode
:CM_AdmMetMaternity	im:CM_ActiveStatus	Maternity Admission, of a pregnant or recently pregnant woman	Maternity Admission, of a pregnant or recently pregnant woman to a maternity WARD (including Delivery facilities) except when the intention is to terminate the pregnancy	CM_AdmMetMaternity	:CM_DiscoveryCode
:CM_AdmMetMheCrisis	im:CM_ActiveStatus	Emergency admission via mental health crisis resolution team	Admission via Mental Health Crisis Resolution Team CDS type 25	CM_AdmMetMheCrisis	:CM_DiscoveryCode
:CM_AdmMetPlanned	im:CM_ActiveStatus	Planned admission (admission method)	Planned admission - CDS type 13	CM_AdmMetPlanned	:CM_DiscoveryCode
:CM_AdmMethWa	im:CM_ActiveStatus	Waiting list (admission method)	Method of actual admission was electively from the waiting list CDS type 11	CM_AdmMethWa	:CM_DiscoveryCode
:CM_AdmNonETransfer	im:CM_ActiveStatus	Non emergency transfer from other provider	Transfer of any admitted PATIENT from other Hospital Provider other than in an emergency cds TYPE 81	CM_AdmNonETransfer	:CM_DiscoveryCode
:CM_AdminCat01	im:CM_ActiveStatus	NHS PATIENT/ Overseas Visitor charged under NHS	NHS PATIENT, including Overseas Visitors charged under the National Health Service (Overseas Visitors Hospital Charging Regulations) CDS 01	CM_AdminCat01	:CM_DiscoveryCode
:CM_AdminCat02	im:CM_ActiveStatus	Private PATIENTusing accommodation/service authorised under the NHS	Private PATIENT, one who uses accommodation or SERVICES authorised under the National Health Service Act 2006 cds 02	CM_AdminCat02	:CM_DiscoveryCode
:CM_AdminCat03	im:CM_ActiveStatus	Amenity PATIENT,use of NHS single room / small ward	Amenity PATIENT, one who pays for the use of a single room or small ward in accordance with the National Health Service Act 2006 cds 03	CM_AdminCat03	:CM_DiscoveryCode
:CM_AdminCat04	im:CM_ActiveStatus	Category II PATIENT	Category II PATIENT, one for whom work is undertaken by hospital medical or dental staff within category II as defined in paragraph 37 of the Terms and Conditions of Service of Hospital Medical and Dental Staff 04	CM_AdminCat04	:CM_DiscoveryCode
:CM_AdminCategory	im:CM_ActiveStatus	Administrative category code (NHS DD)	This is recorded for PATIENT ACTIVITY.\n\nA PATIENT who is an Overseas Visitor does not qualify for free NHS healthcare and can choose to pay for NHS treatment or for private treatment. If they pay for NHS treatment then they should be recorded as NHS PATIENTS.\n\nThe PATIENT's ADMINISTRATIVE CATEGORY CODE may change during an episode or spell. For example, the PATIENT may opt to change from NHS to private health care. In this case, the start and end dates for each new ADMINISTRATIVE CATEGORY PERIOD (episode or spell) should be recorded.\n\nIf the ADMINISTRATIVE CATEGORY CODE changes during a Hospital Provider Spell the ADMINISTRATIVE CATEGORY CODE (ON ADMISSION) is used to derive the 'Category of PATIENT' for Hospital Episode Statistics (HES).\n\nThe category 'amenity PATIENT' is only applicable to PATIENTS using a Hospital Bed.	CM_AdminCategory	:CM_DiscoveryCode
:CM_AdministrativeEntry	im:CM_ActiveStatus	Administrative entry	A type of encounter involving any admin entry into the records such as a filing of a report or note about the patient that defines the type of encounter entered into the health record	CM_AdministrativeEntry	:CM_DiscoveryCode
:CM_Admission	im:CM_ActiveStatus	Admission (care administration)	The care process of admission	CM_Admission	:CM_DiscoveryCode
:CM_AdmissionMethod	im:CM_ActiveStatus	Admission method	The method of admission to a Hospital Provider as authored by the NHS Data dictionary	CM_AdmissionMethod	:CM_DiscoveryCode
:CM_AdmissionPatientClass	im:CM_ActiveStatus	Admitted patient classification	A classification of PATIENTS who have been admitted to a Hospital Provider Spell CDS 1-5	CM_AdmissionPatientClass	:CM_DiscoveryCode
:CM_AdmissionSource	im:CM_ActiveStatus	Admission source	The source of admission to a Hospital Provider Spell or a Nursing Episode when the PATIENT is in a Hospital Site or a Care Home.	CM_AdmissionSource	:CM_DiscoveryCode
:CM_AdultCriticalCareEncounter	im:CM_ActiveStatus	Adult critical care encounter	criticl care period for an adult	CM_AdultCriticalCareEncounter	:CM_DiscoveryCode
:CM_AttNotAtt00	im:CM_ActiveStatus	Not applicable - appointment occurs in the future	Not applicable - APPOINTMENT occurs in the future CDS 0	CM_AttNotAtt00	:CM_DiscoveryCode
:CM_AttNotAtt2	im:CM_ActiveStatus	Cancelled by, or on behalf of, the patient	APPOINTMENT cancelled by, or on behalf of, the PATIENT CDS 2	CM_AttNotAtt2	:CM_DiscoveryCode
:CM_AttNotAtt5	im:CM_ActiveStatus	Attended on time or before the professional was ready to see the patient	Attended on time or, if late, before the relevant CARE PROFESSIONAL was ready to see the PATIENT CDS 5	CM_AttNotAtt5	:CM_DiscoveryCode
:CM_AttNotAtt6	im:CM_ActiveStatus	Arrived late, after the professional was ready to see the patient, but was seen	Arrived late, after the relevant CARE PROFESSIONAL was ready to see the PATIENT, but was seen CDS 6	CM_AttNotAtt6	:CM_DiscoveryCode
:CM_AttNotAtt7	im:CM_ActiveStatus	Arrived late and could not be seen	PATIENT arrived late and could not be seen CDS 7	CM_AttNotAtt7	:CM_DiscoveryCode
:CM_AttNotAttAtt	im:CM_ActiveStatus	Attended and seen	Inidicates that an attendance took place	CM_AttNotAttAtt	:CM_DiscoveryCode
:CM_AttNotAttNot	im:CM_ActiveStatus	Not attended or not seen	Indicates that the patient did not attend for a number of reasons	CM_AttNotAttNot	:CM_DiscoveryCode
:CM_AttOpd1	im:CM_ActiveStatus	Discharged from care - last attendance	Discharged from CONSULTANT's care (last attendance) CDS 1	CM_AttOpd1	:CM_DiscoveryCode
:CM_AttOpd2	im:CM_ActiveStatus	Another appointment given	Another APPOINTMENT given CDS 2	CM_AttOpd2	:CM_DiscoveryCode
:CM_AttOpd3	im:CM_ActiveStatus	Appointment to be made at a later date	APPOINTMENT to be made at a later date CDS 3	CM_AttOpd3	:CM_DiscoveryCode
:CM_AttOutcome0	im:CM_ActiveStatus	Attendance outcome	Outcome of the attendance in outpatients	CM_AttOutcome0	:CM_DiscoveryCode
:CM_AttnotAtt3	im:CM_ActiveStatus	Did not attend  with no advance warning	Did not attend - no advance warning given CDS 3	CM_AttnotAtt3	:CM_DiscoveryCode
:CM_AttnotAtt4	im:CM_ActiveStatus	Cancelled or postponed by the Health Care Provider	APPOINTMENT cancelled or postponed by the Health Care Provider CDS 4	CM_AttnotAtt4	:CM_DiscoveryCode
:CM_BartCernerCode	im:CM_ActiveStatus	Barts Cerner code	A cerner code as used in Barts NHS Trust Cerner Millenium system	CM_BartCernerCode	:CM_DiscoveryCode
:CM_CTV3	im:CM_ActiveStatus	CTV3 Code	An official UK Read 3 codes, not including TPP \"Y\" codes	CM_CTV3	:CM_DiscoveryCode
:CM_CancelHospEvent	im:CM_ActiveStatus	Cancellation of event or encounter in hospital setting	Marks an event which cancels a preceding event such as cancelling a discharge	CM_CancelHospEvent	:CM_DiscoveryCode
:CM_CancelledEncounter	im:CM_ActiveStatus	Cancellation of encounter	An event which cancels a previous encounter	CM_CancelledEncounter	:CM_DiscoveryCode
:CM_CareAdministration	im:CM_ActiveStatus	Care administration	A process of care administration such as an admission discharge or administration node	CM_CareAdministration	:CM_DiscoveryCode
:CM_CareEventType	im:CM_ActiveStatus	has care event type	Points to the overall or main nature of the entry, usually a business process or observable concept of some kind e.g. an Encounter -> type -> Telephone consultation, or observation ->type-> Chest pain	CM_CareEventType	:CM_DiscoveryCode
:CM_CareSetting	im:CM_ActiveStatus	Care setting	A setting in which care takes place (e.g. in an encounter)	CM_CareSetting	:CM_DiscoveryCode
:CM_CcuOther91	im:CM_ActiveStatus	Critical care non standard location	Non standard LOCATION using the operating department	CM_CcuOther91	:CM_DiscoveryCode
:CM_CcufAdult	im:CM_ActiveStatus	Critical care unit adult facilities	Adult (PATIENTS more than 19 years old on admission predominate)	CM_CcufAdult	:CM_DiscoveryCode
:CM_CcufAdult1	im:CM_ActiveStatus	Critical care general adult facility	Non-specific, general adult critical care PATIENTS  predominate CDS01	CM_CcufAdult1	:CM_DiscoveryCode
:CM_CcufAdult10	im:CM_ActiveStatus	Critical care renal adult	Renal adult PATIENTS predominate CDS 10	CM_CcufAdult10	:CM_DiscoveryCode
:CM_CcufAdult11	im:CM_ActiveStatus	Critical care liver adult	Liver adult PATIENTS predominate CDS 11	CM_CcufAdult11	:CM_DiscoveryCode
:CM_CcufAdult2	im:CM_ActiveStatus	Critical care surgical adult facility	Surgical adult PATIENTS (unspecified specialty) CDS 2	CM_CcufAdult2	:CM_DiscoveryCode
:CM_CcufAdult3	im:CM_ActiveStatus	Critical care medical adult facility	Medical adult PATIENTS (unspecified specialty) CDS 3	CM_CcufAdult3	:CM_DiscoveryCode
:CM_CcufAdult5	im:CM_ActiveStatus	Critical care neurosciences adult	Neurosciences adult PATIENTS predominate CDS 5	CM_CcufAdult5	:CM_DiscoveryCode
:CM_CcufAdult8	im:CM_ActiveStatus	Critical care burns and plastic surgery adult	Burns and plastic surgery adult PATIENTS predominate CDS 8	CM_CcufAdult8	:CM_DiscoveryCode
:CM_CcufAdult9	im:CM_ActiveStatus	Critical care spinal adult	Spinal adult PATIENTS predominate cds 9	CM_CcufAdult9	:CM_DiscoveryCode
:CM_CcufChild	im:CM_ActiveStatus	Critical care children and young people facilities	Children and Young People Facilities (PATIENTS aged greater than or equal to 29 days to less than 19 years predominate)	CM_CcufChild	:CM_DiscoveryCode
:CM_CcufChild16	im:CM_ActiveStatus	Critical care ward for children and young people	WARD for children and young people CDS 16	CM_CcufChild16	:CM_DiscoveryCode
:CM_CcufChild17	im:CM_ActiveStatus	Critical care high dependency unit fo children and young people	High Dependency Unit for children and young people cds 17	CM_CcufChild17	:CM_DiscoveryCode
:CM_CcufChild18	im:CM_ActiveStatus	Critical care renal unit for children and you people	Renal Unit for children and young people CDS 18	CM_CcufChild18	:CM_DiscoveryCode
:CM_CcufChild19	im:CM_ActiveStatus	Critical care burns Unit for children and young people	Burns Unit for children and young people CDS 19	CM_CcufChild19	:CM_DiscoveryCode
:CM_CcufChild4	im:CM_ActiveStatus	Critical care paediatric intensive Care Unit	Paediatric Intensive Care Unit (Paediatric critical care PATIENTS predominate) CDS 4	CM_CcufChild4	:CM_DiscoveryCode
:CM_CcufChild92	im:CM_ActiveStatus	Critical care non standand for children and young people	Non standard LOCATION using the operating department for children and young people CDS 92	CM_CcufChild92	:CM_DiscoveryCode
:CM_CcufNeonate	im:CM_ActiveStatus	Critical care neonatal facilities	Neonatal Facilities (Patients aged less than 29 days on admission predominate)	CM_CcufNeonate	:CM_DiscoveryCode
:CM_CcufNeonate13	im:CM_ActiveStatus	Critical care neonatal intensive care unit	Neonatal Intensive Care Unit (Neonatal critical care PATIENTS predominate) CDS 13	CM_CcufNeonate13	:CM_DiscoveryCode
:CM_CcufNeonate14	im:CM_ActiveStatus	Critical care ward for neonatal transitional care	Facility for Babies on a Neonatal Transitional Care WARD CDS 14	CM_CcufNeonate14	:CM_DiscoveryCode
:CM_CcufNeonate15	im:CM_ActiveStatus	Critical care for babies on maternity ward	Facility for Babies on a Maternity WARD CDS 15	CM_CcufNeonate15	:CM_DiscoveryCode
:CM_Ccufadult12	im:CM_ActiveStatus	Critial care obstetric and gynaecology	Obstetric and gynaecology critical care PATIENTS predominate CDS 12	CM_Ccufadult12	:CM_DiscoveryCode
:CM_Ccufadult6	im:CM_ActiveStatus	Critical care cardiac surgical adult	Cardiac surgical adult PATIENTS predominate CDS 6	CM_Ccufadult6	:CM_DiscoveryCode
:CM_Ccufadult7	im:CM_ActiveStatus	Critical care thoracic surgical adult	Thoracic surgical adult PATIENTS predominate CDS 7	CM_Ccufadult7	:CM_DiscoveryCode
:CM_Ccufadult90	im:CM_ActiveStatus	Critical care non standard adult	Non standard LOCATION using a WARD area CDS 90	CM_Ccufadult90	:CM_DiscoveryCode
:CM_ClinicEncounter	im:CM_ActiveStatus	Clinic or health centre consultation	A consultation that occurs in primary care premises such as a nurse or GP run clinic	CM_ClinicEncounter	:CM_DiscoveryCode
:CM_Clinic_or_Health_Centre	im:CM_ActiveStatus	Clinic or Health Centre	A care setting in a community clinic or health centre that is not a gp surgery	CM_Clinic_or_Health_Centre	:CM_DiscoveryCode
:CM_CodeScheme	im:CM_ActiveStatus	Code scheme	A code scheme identifier	CM_CodeScheme	:CM_DiscoveryCode
:CM_Computer	im:CM_ActiveStatus	Computer	A device which is a computer	CM_Computer	:CM_DiscoveryCode
:CM_ComputerEncounter	im:CM_ActiveStatus	Consultation with computer based device	A patient consulting with computer software via a device. Should not be confused with consultation with the patient via a computer.	CM_ComputerEncounter	:CM_DiscoveryCode
:CM_Consultation	im:CM_ActiveStatus	Consultation	An interaction between a patient and health care professional, either directly face to face or indirectly by electronic means, not including administrative activities such as reports or admin processes such as admissions	CM_Consultation	:CM_DiscoveryCode
:CM_CoreSnapshot	im:CM_ActiveStatus	Core snapshot (model document)	Core snapshot of the core language model	CM_CoreSnapshot	:CM_DiscoveryCode
:CM_CreateEntry	im:CM_ActiveStatus	Create entry	Creation of a new entry	CM_CreateEntry	:CM_DiscoveryCode
:CM_CriticalCareAdmissionSource	im:CM_ActiveStatus	Critical care admission source	The primary Organisation type that the PATIENT has been admitted from prior to the start of the CRITICAL CARE PERIOD.	CM_CriticalCareAdmissionSource	:CM_DiscoveryCode
:CM_CriticalCareSource1	im:CM_ActiveStatus	Admitted from same NHS hospital site	Same NHS Hospital Site CDS1	CM_CriticalCareSource1	:CM_DiscoveryCode
:CM_CriticalCareSource2	im:CM_ActiveStatus	Admitted from other NHS Hospital site	Other NHS Hospital Site (same or different NHS Trust) CDS2	CM_CriticalCareSource2	:CM_DiscoveryCode
:CM_CriticalCareSource3	im:CM_ActiveStatus	Admitted from independent hospital provider in the UK	Independent Hospital Provider in the UK CDS 3	CM_CriticalCareSource3	:CM_DiscoveryCode
:CM_CriticalCareSource4	im:CM_ActiveStatus	Admitted from non hospital source in uk including home	Non-hospital source within the UK (e.g. home) CDS 4	CM_CriticalCareSource4	:CM_DiscoveryCode
:CM_CriticalCareSource5	im:CM_ActiveStatus	Admitted from non UK source	Non UK source such as repatriation, military personnel or foreign national CDS 5	CM_CriticalCareSource5	:CM_DiscoveryCode
:CM_CriticalCareUnit	im:CM_ActiveStatus	Critical care unit function	Specialised function of the Intensive care unit or some other unit considered to be critical care related in the context of the critical care encounter	CM_CriticalCareUnit	:CM_DiscoveryCode
:CM_CrudOperation	im:CM_ActiveStatus	CRUD operation	Create delete update or read operation on the data store	CM_CrudOperation	:CM_DiscoveryCode
:CM_DISC_5081	im:CM_ActiveStatus	operates within the sector of	Indicates which sector the speciality works in	CM_DISC_5081	:CM_DiscoveryCode
:CM_DataTransform	im:CM_ActiveStatus	Data transformation	transformation of data in the context of data provenance	CM_DataTransform	:CM_DiscoveryCode
:CM_Day_case	im:CM_ActiveStatus	Day case		CM_Day_case	:CM_DiscoveryCode
:CM_DefinitionalStatus	im:CM_ActiveStatus	Definitional status	The definitional status of the concept e.g necessary or sufficient	CM_DefinitionalStatus	:CM_DiscoveryCode
:CM_DeleteEntry	im:CM_ActiveStatus	Delete entry	Deletion of a current entry	CM_DeleteEntry	:CM_DiscoveryCode
:CM_DeltaUpdate	im:CM_ActiveStatus	Core model delta update (model document)	document that is a delta to a previous version	CM_DeltaUpdate	:CM_DiscoveryCode
:CM_DidNotAttend	im:CM_ActiveStatus	Did not attend	Did not attend an appointment or encounter	CM_DidNotAttend	:CM_DiscoveryCode
:CM_DidNotAttendEncounter	im:CM_ActiveStatus	Did not attend	An encounter that never happened as the patient did not attend	CM_DidNotAttendEncounter	:CM_DiscoveryCode
:CM_DisDest0	im:CM_ActiveStatus	Discharge destination	The destination of a PATIENT on completion of a Hospital Provider Spell, or a note that the PATIENT died or was a still birth.The type of place a patient was disharged to	CM_DisDest0	:CM_DiscoveryCode
:CM_DisDest30	im:CM_ActiveStatus	Repatriation from high security psychiatric NHS Hospital	Repatriation from high security psychiatric accommodation in an NHS Hospital Provider (NHS Trust or NHS Foundation Trust) CDS 30	CM_DisDest30	:CM_DiscoveryCode
:CM_DisDest38	im:CM_ActiveStatus	Penal establishment or police station	Penal establishment or police station CDS 38	CM_DisDest38	:CM_DiscoveryCode
:CM_DisDest48	im:CM_ActiveStatus	High Security Psychiatric Hospital, Scotland	High Security Psychiatric Hospital, Scotland CDS 48	CM_DisDest48	:CM_DiscoveryCode
:CM_DisDest49	im:CM_ActiveStatus	High security psychiatric NHS hospital	NHS other Hospital Provider - high security psychiatric accommodation CDS 49	CM_DisDest49	:CM_DiscoveryCode
:CM_DisDest50	im:CM_ActiveStatus	Medium secure unit in NHS Hospital	NHS other Hospital Provider - medium secure unit CDS 50	CM_DisDest50	:CM_DiscoveryCode
:CM_DisDest51	im:CM_ActiveStatus	Another NHS Hospital ward for general patients or the younger physically disabled	NHS other Hospital Provider - WARD for general PATIENTS or the younger physically disabled CDS 51	CM_DisDest51	:CM_DiscoveryCode
:CM_DisDest79	im:CM_ActiveStatus	Not applicable - patient died or still birth	Not applicable - PATIENT died or still birth CDS 79	CM_DisDest79	:CM_DiscoveryCode
:CM_DisDest84	im:CM_ActiveStatus	Medium secure unit in non NHS hospital	Non-NHS run hospital - medium secure unit CDS 84	CM_DisDest84	:CM_DiscoveryCode
:CM_DisMethod0	im:CM_ActiveStatus	Discharge method	The method of discharge from a Hospital Provider Spell	CM_DisMethod0	:CM_DiscoveryCode
:CM_DisMethod1	im:CM_ActiveStatus	Discharged on clinical advice or with clinical consent	PATIENT discharged on clinical advice or with clinical consent CDS 1	CM_DisMethod1	:CM_DiscoveryCode
:CM_DisMethod2	im:CM_ActiveStatus	Discharged him/herself or was discharged by a relative or advocate	PATIENT discharged him/herself or was discharged by a relative or advocate CDS 2	CM_DisMethod2	:CM_DiscoveryCode
:CM_DisMethod3	im:CM_ActiveStatus	Discharged by mental health review tribunal Home Secretary or court	PATIENT discharged by mental health review tribunal, Home Secretary or Court CDS 3	CM_DisMethod3	:CM_DiscoveryCode
:CM_DisMethod4	im:CM_ActiveStatus	Not applicable - patient died	PATIENT died CDS 4	CM_DisMethod4	:CM_DiscoveryCode
:CM_DisMethod5	im:CM_ActiveStatus	StillBirth	Stillbirth CDS 5	CM_DisMethod5	:CM_DiscoveryCode
:CM_DisMethod6	im:CM_ActiveStatus	Discharged him/herself	PATIENT discharged him/herself CDS 6	CM_DisMethod6	:CM_DiscoveryCode
:CM_DisMethod7	im:CM_ActiveStatus	Discharged by a relative or advocate	PATIENT discharged by a relative or advocate CDS 7	CM_DisMethod7	:CM_DiscoveryCode
:CM_Discharge	im:CM_ActiveStatus	Discharge (care administration)	The care processof discharging a patient	CM_Discharge	:CM_DiscoveryCode
:CM_DiscoveryCode	im:CM_ActiveStatus	Discovery code	Discovery core code for value based concepts. Always the same as the IRI affix after the Discovery baseline IRI of http://www.DiscoveryDataService.org/InformationModel#	CM_DiscoveryCode	:CM_DiscoveryCode
:CM_DraftStatus	im:CM_ActiveStatus	Draft status	The status of the concept is draft i.e. not published	CM_DraftStatus	:CM_DiscoveryCode
:CM_EMISLocal	im:CM_ActiveStatus	EMIS local code	The code is an EMIS code assigned by EMIS, not a Read 2 code,  whether a direct equivalent of Snomed OR not.	CM_EMISLocal	:CM_DiscoveryCode
:CM_EmailConsultation	im:CM_ActiveStatus	Email consultation	Consultation that took place by email	CM_EmailConsultation	:CM_DiscoveryCode
:CM_EncounterDevice	im:CM_ActiveStatus	Device used in encounter	A device used in an encounter setting. These are general devices used in other settings but in this context are used in encounters	CM_EncounterDevice	:CM_DiscoveryCode
:CM_EncounterUsingDevice	im:CM_ActiveStatus	Consultation using electronic device		CM_EncounterUsingDevice	:CM_DiscoveryCode
:CM_Encowincu	im:CM_ActiveStatus	Consultation in walk-in out of hours or urgent care centre		CM_Encowincu	:CM_DiscoveryCode
:CM_EndHospEvent	im:CM_ActiveStatus	End of hospital event	An event indicating the ending of an encounter such as an outpatient discharge or hospital discharge	CM_EndHospEvent	:CM_DiscoveryCode
:CM_Field	im:CM_ActiveStatus	Field (care setting)	A setting for care outside care institutions and the home e.g. street or mountain	CM_Field	:CM_DiscoveryCode
:CM_FileDownloaded	im:CM_ActiveStatus	File downloaded	A file is downloaded or uploaded from a source to a destination	CM_FileDownloaded	:CM_DiscoveryCode
